"chapter","ayah","wordpos","utf8","feature","FA","QA","SW"
"29","1","0-0","الٓمٓ","pos","NOUN","INL","p--b--"
"29","1","2",".","pos","END","END","END"
"29","10","0-0","وَ","pos","CONJ","CONJ","p--c--"
"29","10","0-1","مِنَ","pos","PART","P","p--p--"
"29","10","1-0","ٱل","pos","DET","DET","r---d-"
"29","10","1-1","نَّاسِ","pos","NOUN","N","n#----"
"29","10","2-0","مَن","pos","PREP","REL","nr----"
"29","10","3-0","يَقُولُ","pos","V","V","r---a-"
"29","10","3-1",,"pos","-","œ","v-c---"
"29","10","4-0","ءَامَ","pos","NOUN","V","v-p---"
"29","10","4-1","نَّا","pos","CASE","PRON","r---r-"
"29","10","5-0","بِ","pos","PREP","P","p--p--"
"29","10","5-1","ٱللَّهِ","pos","NOUN","PN","nn----"
"29","10","6-0","فَ","pos","CONJ","REM","p--c--"
"29","10","6-1","إِذَآ","pos","PART","T","nv----"
"29","10","7-0","أُوذِىَ","pos","V","V","v-p---"
"29","10","8-0","فِى","pos","PREP","P","p--p--"
"29","10","9-0","ٱللَّهِ","pos","NOUN","PN","nn----"
"29","10","10-0","جَعَلَ","pos","NOUN","V","v-p---"
"29","10","11-0","فِتْنَةَ","pos","NOUN","N","ns----"
"29","10","11-1",,"pos","NSUFF","œ","r---t-"
"29","10","12-0","ٱل","pos","DET","DET","r---d-"
"29","10","12-1","نَّاسِ","pos","NOUN","N","n#----"
"29","10","13-0","كَ","pos","PREP","P","p--l--"
"29","10","13-1","عَذَابِ","pos","NOUN","N","ng----"
"29","10","14-0","ٱللَّهِ","pos","NOUN","PN","nn----"
"29","10","15-0","وَ","pos","CONJ","CONJ","p--c--"
"29","10","15-1","لَ","pos","NOUN","EMPH","p--z--"
"29","10","15-2","ئِن","pos","-","COND","p--k--"
"29","10","16-0","جَآءَ","pos","V","V","v-p---"
"29","10","17-0","نَصْرٌ","pos","NOUN","N","ng----"
"29","10","18-0","مِّن","pos","PREP","P","p--p--"
"29","10","19-0","رَّبِّ","pos","NOUN","N","nq----"
"29","10","19-1","كَ","pos","-","PRON","r---r-"
"29","10","20-0","لَ","pos","PREP","EMPH","p--z--"
"29","10","20-1","يَقُولُ","pos","NOUN","V","r---a-"
"29","10","20-2","نَّ","pos","-","EMPH","v-c---"
"29","10","20-3",,"pos","-","œ","r---z-"
"29","10","21-0","إِنَّ","pos","PART","ACC","p--a--"
"29","10","21-1","ا","pos","PRON","PRON","r---r-"
"29","10","22-0","كُ","pos","V","V","v-p---"
"29","10","22-1","نَّا","pos","-","PRON","r---r-"
"29","10","23-0","مَعَ","pos","NOUN","LOC","nv----"
"29","10","23-1","كُمْ","pos","PRON","PRON","r---r-"
"29","10","24-0","أَ","pos","NOUN","INTG","p--i--"
"29","10","24-1","وَ","pos","-","SUP","p--c--"
"29","10","24-2","لَيْسَ","pos","-","V","v-p---"
"29","10","25-0","ٱللَّهُ","pos","NOUN","PN","nn----"
"29","10","26-0","بِ","pos","PREP","P","p--p--"
"29","10","26-1","أَعْلَمَ","pos","NOUN","N","n@----"
"29","10","27-0","بِ","pos","PREP","P","p--p--"
"29","10","27-1","مَا","pos","PART","REL","nr----"
"29","10","28-0","فِى","pos","PREP","P","p--p--"
"29","10","29-0","صُدُورِ","pos","NOUN","N","nq----"
"29","10","30-0","ٱلْ","pos","DET","DET","r---d-"
"29","10","30-1","عَٰلَمِينَ","pos","NOUN","N","n#----"
"29","10","30-2",,"pos","NSUFF","œ","r---m-"
"29","10","32",".","pos","END","END","END"
"29","11","0-0","وَ","pos","NOUN","CONJ","p--c--"
"29","11","0-1","لَ","pos","-","EMPH","p--z--"
"29","11","0-2","يَعْلَمَ","pos","-","V","r---a-"
"29","11","0-3","نَّ","pos","-","EMPH","v-c---"
"29","11","0-4",,"pos","-","œ","r---z-"
"29","11","1-0","ٱللَّهُ","pos","NOUN","PN","nn----"
"29","11","2-0","ٱلَّذِينَ","pos","PART","REL","nr----"
"29","11","3-0","ءَامَنُ","pos","V","V","v-p---"
"29","11","3-1","وا۟","pos","PRON","PRON","r---r-"
"29","11","4-0","وَ","pos","NOUN","CONJ","p--c--"
"29","11","4-1","لَ","pos","-","EMPH","p--z--"
"29","11","4-2","يَعْلَمَ","pos","-","V","r---a-"
"29","11","4-3","نَّ","pos","-","EMPH","v-c---"
"29","11","4-4",,"pos","-","œ","r---z-"
"29","11","5-0","ٱلْ","pos","DET","DET","r---d-"
"29","11","5-1","مُنَٰفِقِينَ","pos","NOUN","N","nu----"
"29","11","5-2",,"pos","NSUFF","œ","r---m-"
"29","11","7",".","pos","END","END","END"
"29","12","0-0","وَ","pos","CONJ","CONJ","p--c--"
"29","12","0-1","قَالَ","pos","V","V","v-p---"
"29","12","1-0","ٱلَّذِينَ","pos","PART","REL","nr----"
"29","12","2-0","كَفَرُ","pos","NOUN","V","v-p---"
"29","12","2-1","وا۟","pos","PRON","PRON","r---r-"
"29","12","3-0","لِ","pos","PREP","P","p--p--"
"29","12","3-1","لَّذِينَ","pos","PART","REL","nr----"
"29","12","4-0","ءَامَنُ","pos","V","V","v-p---"
"29","12","4-1","وا۟","pos","PRON","PRON","r---r-"
"29","12","5-0","ٱتَّبِعُ","pos","V","V","v-i---"
"29","12","5-1","وا۟","pos","PRON","PRON","r---r-"
"29","12","6-0","سَبِيلَ","pos","NOUN","N","nl----"
"29","12","6-1","نَا","pos","PRON","PRON","r---r-"
"29","12","7-0","وَ","pos","CONJ","CONJ","p--c--"
"29","12","7-1","لْ","pos","NOUN","IMPV","p--j--"
"29","12","7-2","نَحْمِلْ","pos","-","V","r---a-"
"29","12","7-3",,"pos","-","œ","v-c---"
"29","12","8-0","خَطَٰيَٰ","pos","NOUN","N","nq----"
"29","12","8-1","كُمْ","pos","PRON","PRON","r---r-"
"29","12","9-0","وَ","pos","CONJ","CONJ","p--c--"
"29","12","9-1","مَا","pos","PART","NEG","p--n--"
"29","12","10-0","هُم","pos","PRON","PRON","np----"
"29","12","11-0","بِ","pos","PREP","P","p--p--"
"29","12","11-1","حَٰمِلِينَ","pos","NOUN","N","nu----"
"29","12","11-2",,"pos","NSUFF","œ","r---m-"
"29","12","12-0","مِنْ","pos","PREP","P","p--p--"
"29","12","13-0","خَطَٰيَٰ","pos","NOUN","N","nq----"
"29","12","13-1","هُم","pos","PRON","PRON","r---r-"
"29","12","14-0","مِّن","pos","PREP","P","p--p--"
"29","12","15-0","شَىْءٍ","pos","NOUN","N","na----"
"29","12","16-0","إِنَّ","pos","PART","ACC","p--a--"
"29","12","16-1","هُمْ","pos","PRON","PRON","r---r-"
"29","12","17-0","لَ","pos","PREP","EMPH","p--z--"
"29","12","17-1","كَٰذِبُونَ","pos","NOUN","N","nu----"
"29","12","17-2",,"pos","-","œ","r---m-"
"29","12","19",".","pos","END","END","END"
"29","13","0-0","وَ","pos","CONJ","CONJ","p--c--"
"29","13","0-1","لَ","pos","NOUN","EMPH","p--z--"
"29","13","0-2","يَحْمِلُ","pos","-","V","r---a-"
"29","13","0-3","نَّ","pos","-","EMPH","v-c---"
"29","13","0-4",,"pos","-","œ","r---z-"
"29","13","1-0","أَثْقَالَ","pos","NOUN","N","nq----"
"29","13","1-1","هُمْ","pos","PRON","PRON","r---r-"
"29","13","2-0","وَ","pos","CONJ","CONJ","p--c--"
"29","13","2-1","أَثْقَالًا","pos","NOUN","N","nq----"
"29","13","2-2",,"pos","CASE","œ","r---k-"
"29","13","3-0","مَّعَ","pos","NOUN","LOC","nv----"
"29","13","4-0","أَثْقَالِ","pos","NOUN","N","nq----"
"29","13","4-1","هِمْ","pos","PRON","PRON","r---r-"
"29","13","5-0","وَ","pos","NOUN","CONJ","p--c--"
"29","13","5-1","لَ","pos","-","EMPH","p--z--"
"29","13","5-2","يُسْـَٔلُ","pos","-","V","r---a-"
"29","13","5-3","نَّ","pos","-","EMPH","v-c---"
"29","13","5-4",,"pos","-","œ","r---z-"
"29","13","6-0","يَوْمَ","pos","NOUN","N","nv----"
"29","13","7-0","ٱلْ","pos","DET","DET","r---d-"
"29","13","7-1","قِيَٰمَةِ","pos","NOUN","N","ne----"
"29","13","7-2",,"pos","NSUFF","œ","r---t-"
"29","13","8-0","عَ","pos","NOUN","P","p--p--"
"29","13","8-1","مَّا","pos","-","REL","nr----"
"29","13","9-0","كَانُ","pos","V","V","v-p---"
"29","13","9-1","وا۟","pos","PRON","PRON","r---r-"
"29","13","10-0","يَفْتَرُ","pos","NOUN","V","r---a-"
"29","13","10-1","ونَ","pos","NSUFF","PRON","v-c---"
"29","13","10-2",,"pos","-","œ","r---r-"
"29","13","12",".","pos","END","END","END"
"29","14","0-0","وَ","pos","CONJ","CONJ","p--c--"
"29","14","0-1","لَ","pos","PART","EMPH","p--z--"
"29","14","0-2","قَدْ","pos","-","CERT","p--b--"
"29","14","1-0","أَرْسَلْ","pos","V","V","v-p---"
"29","14","1-1","نَا","pos","PRON","PRON","r---r-"
"29","14","2-0","نُوحًا","pos","NOUN","PN","nn----"
"29","14","2-1",,"pos","CASE","œ","r---k-"
"29","14","3-0","إِلَىٰ","pos","PREP","P","p--p--"
"29","14","4-0","قَوْمِ","pos","NOUN","N","n$----"
"29","14","4-1","هِۦ","pos","PRON","PRON","r---r-"
"29","14","5-0","فَ","pos","PART","CONJ","p--c--"
"29","14","5-1","لَبِثَ","pos","V","V","v-p---"
"29","14","6-0","فِي","pos","PREP","P","p--p--"
"29","14","6-1","هِمْ","pos","PRON","PRON","r---r-"
"29","14","7-0","أَلْفَ","pos","NUM","N","n+----"
"29","14","8-0","سَنَةٍ","pos","NOUN","N","nv----"
"29","14","8-1",,"pos","NSUFF","œ","ß"
"29","14","9-0","إِلَّا","pos","PART","RES","p--x--"
"29","14","10-0","خَمْسِينَ","pos","ADJ","N","n+----"
"29","14","10-1",,"pos","NSUFF","œ","r---m-"
"29","14","11-0","عَامًا","pos","NOUN","N","nv----"
"29","14","11-1",,"pos","CASE","œ","r---k-"
"29","14","12-0","فَ","pos","CONJ","REM","p--c--"
"29","14","12-1","أَخَذَ","pos","V","V","v-p---"
"29","14","12-2","هُمُ","pos","PRON","PRON","r---r-"
"29","14","13-0","ٱل","pos","DET","DET","r---d-"
"29","14","13-1","طُّوفَانُ","pos","NOUN","N","ng----"
"29","14","14-0","وَ","pos","CONJ","CIRC","p--c--"
"29","14","14-1","هُمْ","pos","PRON","PRON","np----"
"29","14","15-0","ظَٰلِمُونَ","pos","ADJ","N","nu----"
"29","14","15-1",,"pos","NSUFF","œ","r---m-"
"29","14","17",".","pos","END","END","END"
"29","15","0-0","فَ","pos","CONJ","REM","p--c--"
"29","15","0-1","أَنجَيْ","pos","V","V","v-p---"
"29","15","0-2","نَٰ","pos","PRON","PRON","r---r-"
"29","15","0-3","هُ","pos","PRON","PRON","r---r-"
"29","15","1-0","وَ","pos","CONJ","CONJ","p--c--"
"29","15","1-1","أَصْحَٰبَ","pos","NOUN","N","nu----"
"29","15","2-0","ٱل","pos","DET","DET","r---d-"
"29","15","2-1","سَّفِينَةِ","pos","NOUN","N","nq----"
"29","15","2-2",,"pos","NSUFF","œ","r---t-"
"29","15","3-0","وَ","pos","CONJ","CONJ","p--c--"
"29","15","3-1","جَعَلْ","pos","V","V","v-p---"
"29","15","3-2","نَٰ","pos","PRON","PRON","r---r-"
"29","15","3-3","هَآ","pos","PRON","PRON","r---r-"
"29","15","4-0","ءَايَةً","pos","NOUN","N","nq----"
"29","15","4-1",,"pos","NSUFF","œ","r---t-"
"29","15","5-0","لِّ","pos","PREP","P","p--p--"
"29","15","5-1","لْ","pos","DET","DET","r---d-"
"29","15","5-2","عَٰلَمِينَ","pos","NOUN","N","n#----"
"29","15","5-3",,"pos","NSUFF","œ","r---m-"
"29","15","7",".","pos","END","END","END"
"29","16","0-0","وَ","pos","CONJ","CONJ","p--c--"
"29","16","0-1","إِبْرَٰهِيمَ","pos","NOUN","PN","nn----"
"29","16","1-0","إِذْ","pos","PART","T","nv----"
"29","16","2-0","قَالَ","pos","V","V","v-p---"
"29","16","3-0","لِ","pos","PREP","P","p--p--"
"29","16","3-1","قَوْمِ","pos","NOUN","N","n$----"
"29","16","3-2","هِ","pos","PRON","PRON","r---r-"
"29","16","4-0","ٱعْبُدُ","pos","V","V","v-i---"
"29","16","4-1","وا۟","pos","PRON","PRON","r---r-"
"29","16","5-0","ٱللَّهَ","pos","NOUN","PN","nn----"
"29","16","6-0","وَ","pos","CONJ","CONJ","p--c--"
"29","16","6-1","ٱتَّقُ","pos","NOUN","V","v-i---"
"29","16","6-2","و","pos","PRON","PRON","r---r-"
"29","16","6-3","هُ","pos","-","PRON","r---r-"
"29","16","7-0","ذَٰلِكُمْ","pos","NOUN","DEM","nd----"
"29","16","8-0","خَيْرٌ","pos","NOUN","N","ng----"
"29","16","9-0","لَّ","pos","PREP","P","p--p--"
"29","16","9-1","كُمْ","pos","PRON","PRON","np----"
"29","16","10-0","إِن","pos","PART","COND","p--k--"
"29","16","11-0","كُن","pos","NOUN","V","v-p---"
"29","16","11-1","تُمْ","pos","-","PRON","r---r-"
"29","16","12-0","تَعْلَمُ","pos","V","V","r---a-"
"29","16","12-1","ونَ","pos","PRON","PRON","v-c---"
"29","16","12-2",,"pos","-","œ","r---r-"
"29","16","14",".","pos","END","END","END"
"29","17","0-0","إِنَّ","pos","PART","ACC","p--a--"
"29","17","0-1","مَا","pos","-","PREV","p--b--"
"29","17","1-0","تَعْبُدُ","pos","NOUN","V","r---a-"
"29","17","1-1","ونَ","pos","NSUFF","PRON","v-c---"
"29","17","1-2",,"pos","-","œ","r---r-"
"29","17","2-0","مِن","pos","PREP","P","p--p--"
"29","17","3-0","دُونِ","pos","NOUN","N","nv----"
"29","17","4-0","ٱللَّهِ","pos","NOUN","PN","nn----"
"29","17","5-0","أَوْثَٰنًا","pos","NOUN","N","nq----"
"29","17","5-1",,"pos","CASE","œ","r---k-"
"29","17","6-0","وَ","pos","CONJ","CONJ","p--c--"
"29","17","6-1","تَخْلُقُ","pos","V","V","r---a-"
"29","17","6-2","ونَ","pos","PRON","PRON","v-c---"
"29","17","6-3",,"pos","-","œ","r---r-"
"29","17","7-0","إِفْكًا","pos","NOUN","N","nq----"
"29","17","7-1",,"pos","CASE","œ","r---k-"
"29","17","8-0","إِنَّ","pos","PART","ACC","p--a--"
"29","17","9-0","ٱلَّذِينَ","pos","PART","REL","nr----"
"29","17","10-0","تَعْبُدُ","pos","NOUN","V","r---a-"
"29","17","10-1","ونَ","pos","NSUFF","PRON","v-c---"
"29","17","10-2",,"pos","-","œ","r---r-"
"29","17","11-0","مِن","pos","PREP","P","p--p--"
"29","17","12-0","دُونِ","pos","NOUN","N","nv----"
"29","17","13-0","ٱللَّهِ","pos","NOUN","PN","nn----"
"29","17","14-0","لَا","pos","PART","NEG","p--n--"
"29","17","15-0","يَمْلِكُ","pos","V","V","r---a-"
"29","17","15-1","ونَ","pos","PRON","PRON","v-c---"
"29","17","15-2",,"pos","-","œ","r---r-"
"29","17","16-0","لَ","pos","PREP","P","p--p--"
"29","17","16-1","كُمْ","pos","PRON","PRON","np----"
"29","17","17-0","رِزْقًا","pos","NOUN","N","ng----"
"29","17","17-1",,"pos","CASE","œ","r---k-"
"29","17","18-0","فَ","pos","CONJ","REM","p--c--"
"29","17","18-1","ٱبْتَغُ","pos","V","V","v-i---"
"29","17","18-2","وا۟","pos","PRON","PRON","r---r-"
"29","17","19-0","عِندَ","pos","NOUN","LOC","nv----"
"29","17","20-0","ٱللَّهِ","pos","NOUN","PN","nn----"
"29","17","21-0","ٱل","pos","DET","DET","r---d-"
"29","17","21-1","رِّزْقَ","pos","NOUN","N","ng----"
"29","17","22-0","وَ","pos","NOUN","CONJ","p--c--"
"29","17","22-1","ٱعْبُدُ","pos","-","V","v-i---"
"29","17","22-2","و","pos","-","PRON","r---r-"
"29","17","22-3","هُ","pos","-","PRON","r---r-"
"29","17","23-0","وَ","pos","CONJ","CONJ","p--c--"
"29","17","23-1","ٱشْكُرُ","pos","V","V","v-i---"
"29","17","23-2","وا۟","pos","PRON","PRON","r---r-"
"29","17","24-0","لَ","pos","PREP","P","p--p--"
"29","17","24-1","هُۥٓ","pos","PRON","PRON","np----"
"29","17","25-0","إِلَيْ","pos","PREP","P","p--p--"
"29","17","25-1","هِ","pos","PRON","PRON","r---r-"
"29","17","26-0","تُرْجَعُ","pos","V","V","r---a-"
"29","17","26-1","ونَ","pos","PRON","PRON","v-c---"
"29","17","26-2",,"pos","-","œ","r---r-"
"29","17","28",".","pos","END","END","END"
"29","18","0-0","وَ","pos","CONJ","CONJ","p--c--"
"29","18","0-1","إِن","pos","PART","COND","p--k--"
"29","18","1-0","تُكَذِّبُ","pos","V","V","r---a-"
"29","18","1-1","وا۟","pos","PRON","PRON","v-c---"
"29","18","1-2",,"pos","-","œ","r---r-"
"29","18","2-0","فَ","pos","CONJ","REM","p--c--"
"29","18","2-1","قَدْ","pos","PART","CERT","p--b--"
"29","18","3-0","كَذَّبَ","pos","NOUN","V","v-p---"
"29","18","4-0","أُمَمٌ","pos","NOUN","N","n$----"
"29","18","5-0","مِّن","pos","PREP","P","p--p--"
"29","18","6-0","قَبْلِ","pos","NOUN","N","nv----"
"29","18","6-1","كُمْ","pos","PRON","PRON","r---r-"
"29","18","7-0","وَ","pos","CONJ","CONJ","p--c--"
"29","18","7-1","مَا","pos","PART","NEG","p--n--"
"29","18","8-0","عَلَى","pos","PREP","P","p--p--"
"29","18","9-0","ٱل","pos","DET","DET","r---d-"
"29","18","9-1","رَّسُولِ","pos","NOUN","N","nj----"
"29","18","10-0","إِلَّا","pos","PART","RES","p--x--"
"29","18","11-0","ٱلْ","pos","DET","DET","r---d-"
"29","18","11-1","بَلَٰغُ","pos","NOUN","N","ng----"
"29","18","12-0","ٱلْ","pos","DET","DET","r---d-"
"29","18","12-1","مُبِينُ","pos","NOUN","N","nj----"
"29","18","14",".","pos","END","END","END"
"29","19","0-0","أَ","pos","NOUN","INTG","p--i--"
"29","19","0-1","وَ","pos","-","SUP","p--c--"
"29","19","0-2","لَمْ","pos","-","NEG","p--n--"
"29","19","1-0","يَرَ","pos","V","V","v-c---"
"29","19","1-1","وْا۟","pos","PRON","PRON","r---r-"
"29","19","2-0","كَيْفَ","pos","PART","INTG","nb----"
"29","19","3-0","يُبْدِئُ","pos","V","V","r---a-"
"29","19","3-1",,"pos","-","œ","v-c---"
"29","19","4-0","ٱللَّهُ","pos","NOUN","PN","nn----"
"29","19","5-0","ٱلْ","pos","DET","DET","r---d-"
"29","19","5-1","خَلْقَ","pos","NOUN","N","n#----"
"29","19","6-0","ثُمَّ","pos","CONJ","CONJ","p--c--"
"29","19","7-0","يُعِيدُ","pos","V","V","r---a-"
"29","19","7-1","هُۥٓ","pos","PRON","PRON","v-c---"
"29","19","7-2",,"pos","-","œ","r---r-"
"29","19","8-0","إِنَّ","pos","PART","ACC","p--a--"
"29","19","9-0","ذَٰلِكَ","pos","PRON","DEM","nd----"
"29","19","10-0","عَلَى","pos","PREP","P","p--p--"
"29","19","11-0","ٱللَّهِ","pos","NOUN","PN","nn----"
"29","19","12-0","يَسِيرٌ","pos","V","ADJ","nj----"
"29","19","14",".","pos","END","END","END"
"29","2","0-0","أَ","pos","V","INTG","p--i--"
"29","2","0-1","حَسِبَ","pos","-","V","v-p---"
"29","2","1-0","ٱل","pos","DET","DET","r---d-"
"29","2","1-1","نَّاسُ","pos","NOUN","N","n#----"
"29","2","2-0","أَن","pos","PART","SUB","p--g--"
"29","2","3-0","يُتْرَكُ","pos","V","V","r---a-"
"29","2","3-1","وٓا۟","pos","PRON","PRON","v-c---"
"29","2","3-2",,"pos","-","œ","r---r-"
"29","2","4-0","أَن","pos","PART","SUB","p--g--"
"29","2","5-0","يَقُولُ","pos","V","V","r---a-"
"29","2","5-1","وٓا۟","pos","PRON","PRON","v-c---"
"29","2","5-2",,"pos","-","œ","r---r-"
"29","2","6-0","ءَامَ","pos","ADJ","V","v-p---"
"29","2","6-1","نَّا","pos","CASE","PRON","r---r-"
"29","2","7-0","وَ","pos","CONJ","CONJ","p--c--"
"29","2","7-1","هُمْ","pos","PRON","PRON","np----"
"29","2","8-0","لَا","pos","PART","NEG","p--n--"
"29","2","9-0","يُفْتَنُ","pos","V","V","r---a-"
"29","2","9-1","ونَ","pos","PRON","PRON","v-c---"
"29","2","9-2",,"pos","-","œ","r---r-"
"29","2","11",".","pos","END","END","END"
"29","20","0-0","قُلْ","pos","V","V","v-i---"
"29","20","1-0","سِيرُ","pos","NOUN","V","v-i---"
"29","20","1-1","وا۟","pos","PRON","PRON","r---r-"
"29","20","2-0","فِى","pos","PREP","P","p--p--"
"29","20","3-0","ٱلْ","pos","DET","DET","r---d-"
"29","20","3-1","أَرْضِ","pos","NOUN","N","nn----"
"29","20","4-0","فَ","pos","CONJ","CONJ","p--c--"
"29","20","4-1","ٱنظُرُ","pos","V","V","v-i---"
"29","20","4-2","وا۟","pos","PRON","PRON","r---r-"
"29","20","5-0","كَيْفَ","pos","PART","INTG","nb----"
"29","20","6-0","بَدَأَ","pos","V","V","v-p---"
"29","20","7-0","ٱلْ","pos","DET","DET","r---d-"
"29","20","7-1","خَلْقَ","pos","NOUN","N","n#----"
"29","20","8-0","ثُمَّ","pos","CONJ","CONJ","p--c--"
"29","20","9-0","ٱللَّهُ","pos","NOUN","PN","nn----"
"29","20","10-0","يُنشِئُ","pos","V","V","r---a-"
"29","20","10-1",,"pos","-","œ","v-c---"
"29","20","11-0","ٱل","pos","DET","DET","r---d-"
"29","20","11-1","نَّشْأَةَ","pos","NOUN","N","ng----"
"29","20","11-2",,"pos","NSUFF","œ","r---t-"
"29","20","12-0","ٱلْ","pos","DET","DET","r---d-"
"29","20","12-1","ءَاخِرَةَ","pos","ADJ","N","nj----"
"29","20","12-2",,"pos","NSUFF","œ","r---t-"
"29","20","13-0","إِنَّ","pos","PART","ACC","p--a--"
"29","20","14-0","ٱللَّهَ","pos","NOUN","PN","nn----"
"29","20","15-0","عَلَىٰ","pos","PREP","P","p--p--"
"29","20","16-0","كُلِّ","pos","NOUN","N","ne----"
"29","20","17-0","شَىْءٍ","pos","NOUN","N","na----"
"29","20","18-0","قَدِيرٌ","pos","ADJ","N","nj----"
"29","20","20",".","pos","END","END","END"
"29","21","0-0","يُعَذِّبُ","pos","NOUN","V","r---a-"
"29","21","0-1",,"pos","-","œ","v-c---"
"29","21","1-0","مَن","pos","PREP","REL","nr----"
"29","21","2-0","يَشَآءُ","pos","V","V","r---a-"
"29","21","2-1",,"pos","-","œ","v-c---"
"29","21","3-0","وَ","pos","CONJ","CONJ","p--c--"
"29","21","3-1","يَرْحَمُ","pos","ADJ","V","r---a-"
"29","21","3-2",,"pos","-","œ","v-c---"
"29","21","4-0","مَن","pos","PREP","REL","nr----"
"29","21","5-0","يَشَآءُ","pos","V","V","r---a-"
"29","21","5-1",,"pos","-","œ","v-c---"
"29","21","6-0","وَ","pos","CONJ","CONJ","p--c--"
"29","21","6-1","إِلَيْ","pos","PREP","P","p--p--"
"29","21","6-2","هِ","pos","PRON","PRON","r---r-"
"29","21","7-0","تُقْلَبُ","pos","NOUN","V","r---a-"
"29","21","7-1","ونَ","pos","NSUFF","PRON","v-c---"
"29","21","7-2",,"pos","-","œ","r---r-"
"29","21","9",".","pos","END","END","END"
"29","22","0-0","وَ","pos","CONJ","CONJ","p--c--"
"29","22","0-1","مَآ","pos","PART","NEG","p--n--"
"29","22","1-0","أَنتُم","pos","PRON","PRON","np----"
"29","22","2-0","بِ","pos","PREP","P","p--p--"
"29","22","2-1","مُعْجِزِينَ","pos","NOUN","N","nu----"
"29","22","2-2",,"pos","NSUFF","œ","r---m-"
"29","22","3-0","فِى","pos","PREP","P","p--p--"
"29","22","4-0","ٱلْ","pos","DET","DET","r---d-"
"29","22","4-1","أَرْضِ","pos","NOUN","N","nn----"
"29","22","5-0","وَ","pos","CONJ","CONJ","p--c--"
"29","22","5-1","لَا","pos","PART","NEG","p--n--"
"29","22","6-0","فِى","pos","PREP","P","p--p--"
"29","22","7-0","ٱل","pos","DET","DET","r---d-"
"29","22","7-1","سَّمَآءِ","pos","NOUN","N","nq----"
"29","22","8-0","وَ","pos","CONJ","CONJ","p--c--"
"29","22","8-1","مَا","pos","PART","NEG","p--n--"
